Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,,LogMass,Combined Mass (g),Comments,Reference,IUCN status,comment,comment,Home Range Size,units for home range sizse,reference for home range
Insular,Little Swan Island (gulf of Honduras),historical,Rodentia,Capromyidae,Geocapromys,thoracatus,,3.176,1500.000,"hurricane, house cats",3,EX,,,,,
Insular,Hispaniola,historical,Rodentia,Capromyidae,Plagiodontia,araeum,,-999.000,-999.000,,-999,,,,,,
Insular,Hispaniola,historical,Rodentia,Capromyidae,Plagiodontia,ipnaeum,,-999.000,-999.000,,-999,,,,,,
Insular,Haiti,historical,Rodentia,Capromyidae,Rhizoplagiodontia,lemkei,,-999.000,-999.000,,-999,,,,,,
Insular,West Indies,historical,Rodentia,Erethizontidae,Sphiggurus,pallidus,,-999.000,-999.000,,-999,,,,,,
Insular,Puerto Rico,historical,Rodentia,Heptaxodontidae,Elasmodontomys,obliquus,,4.137,13700.000,,145,,,,,,
Insular,Hispaniola,historical,Rodentia,Heptaxodontidae,Quemisia,gravis,,-999.000,-999.000,,-999,,,,,,
Insular,Philippines,historical,Rodentia,Muridae,Crateromys,paulus,,2.603,401.000,habitat alteration,60,,,,,,
Insular,Canary Isl,historical,Rodentia,Muridae,Malpaisomys,insularis,,-999.000,-999.000,,-999,EX,,,,,
Insular,"Martinique, Lesser Antilles",historical,Rodentia,Muridae,Megalomys,desmarestii,,-999.000,-999.000,"size of a cat, largest giant rice rat, volcano eruption",-999,,,,,,
Insular,"Santa Lucia, Lesser Antilles",historical,Rodentia,Muridae,Megalomys,luciae,,-999.000,-999.000,size of small cat,-999,,,,,,
Insular,"Santa Cruz Island, Galapgos Archipelago",historical,Rodentia,Muridae,Nesoryzomys,darwini,,-999.000,-999.000,competiton with or disease brought by introduced black and brown rats,-999,EX,,,,,
Insular,"Santa Cruze and Fernandinan Isls., Galapagos Archipelago",historical,Rodentia,Muridae,Nesoryzomys,indefessus,,-999.000,-999.000,"competiton with or disease brought by introduced black and brown rats, feral cats",-999,EX,,,,,
Insular,"San Salvador Isls., Galapagos Archipelago",historical,Rodentia,Muridae,Nesoryzomys,swarthi,,-999.000,-999.000,"invasive spp., restricted range",-999,VU,,,,,
Insular,"Maria Madre Island, Mexico",historical,Rodentia,Muridae,Oryzomys,nelsoni,,-999.000,-999.000,cats,-999,EX,,,,,
Insular,"Flores Island, Indonesia",historical,Rodentia,Muridae,Paulamys,naso,,-999.000,-999.000,,-999,EX,,,,,
Insular,"San Miguel Island, off S. California",historical,Rodentia,Muridae,Peromyscus,nesodytes,,-999.000,-999.000,human induced change,3,,,,,,
Insular,"San Pedro Isls, Mexico",historical,Rodentia,Muridae,Peromyscus,pembertoni,,-999.000,-999.000,unkown,-999,EX,,,,,
Insular,"Christmas Isl., Australia",historical,Rodentia,Muridae,Rattus,macleari,,-999.000,-999.000,intro of diseases brought by black rats,-999,,,,,,
Insular,"Christmas Isl., Australia",historical,Rodentia,Muridae,Rattus,nativitatis,,-999.000,-999.000,intro of diseases brought by black rats,-999,,,,,,
Insular,"Commander Isl, Bering Isl, Bering Sea",historical,Sirenia,Dugongidae,Hydrodamalis,gigas,,6.602,4000000.000,,137,,,,,,
NA,Caribbean Sea & Yucatan,historical,Carnivora,Phocidae,Monachus,tropicalis,Caribbean Monk Seal or West Indian Monk Seal,5.301,200000.000,hunting,141,EX,,,,,
AF,,extinct,Artiodactyla,Bovidae,Antidorcas,bondi,,4.531,34000.000,,1,,,,,,
AF,,extinct,Artiodactyla,Bovidae,Antidorcas,australis,,4.602,40000.000,,2,,,,,,
AF,,extinct,Artiodactyla,Bovidae,Gazella,atlantica,,4.648,44500.000,,"1, 2",,,,,,
AF,,extinct,Artiodactyla,Bovidae,Megalotragus,priscus,,5.301,200000.000,,2,,,,,,
AF,,extinct,Artiodactyla,Bovidae,Pelorovis,antiquus,,6.000,1000000.000,,"2, 5",,,,,,
AF,,extinct,Artiodactyla,Camelidae,Camelus,thomasi,,5.699,500000.000,,1,,,,,,
AF,,extinct,Artiodactyla,Cervidae,Megaloceros,algericus,,5.903,800000.000,,1,,,,,,
AF,,extinct,Artiodactyla,Giraffidae,Giraffa,gracilis,,5.929,850000.000,,6,,,,,,
AF,,extinct,Artiodactyla,Suidae,Metridiochoerus,compactus,,5.152,142000.000,,2,,,,,,
AF,,extinct,Perissodactyla,Equidae,Equus,capensis,,5.544,350000.000,,"2, 7",,,,,,
AF,,extinct,Perissodactyla,Equidae,Hipparion,libycum,,5.176,150000.000,,"1, 7",,,,,,
AF,,extinct,Perissodactyla,Rhinocerotidae,Stephanorhinus,kirchbergensis,,6.301,2000000.000,,"2, 9, 10",,,,,,
AF,,extinct,Proboscidea,Elephantidae,Elephas,iolensis,,6.813,6500000.000,,"11, 12",,,,,,
AUS,,extinct,Dasyuromorphia,Dasyuridae,Sarcophilus,laniarius,,4.079,12000.000,,"13, 14",,,,,,
AUS,,extinct,Dasyuromorphia,Phascolarctidae,Phascolarctos,stirtoni,,4.146,14000.000,,13,,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Diprotodon,minor,,5.954,900000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Diprotodon,optatum,,6.176,1500000.000,,"6, 13, 16",,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Euowenia,grata,,5.875,750000.000,,"13, 14, 16",,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Euryzygoma,dunese,,5.699,500000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Nototherium,mitchelli,,5.699,500000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Palorchestes,parvus,,5.000,100000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Palorchestes,azeal,,5.699,500000.000,,"1, 16",,,,,,
AUS,,extinct,Diprotodontia,Diprotodonidae,Zygomaturus,trilobus,,5.875,750000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Kangurus,congrous,,4.602,40000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Macropus,piltonesis,,4.477,30000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Macropus,thor,,4.477,30000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Macropus,ferragus,,5.176,150000.000,,"13, 15, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Macropus,pearsoni,,5.176,150000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Procoptodon,pusio,,4.875,75000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Procoptodon,rapha,,5.176,150000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Procoptodon,texasensis,,5.176,150000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Procoptodon,goliah,,5.398,250000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Protemnodon,roechus,,4.954,90000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Protemnodon,anak,,5.000,100000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Protemnodon,brehus,,5.000,100000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Simosthenurus,gilli,,4.477,30000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Simosthenurus,brownei,,4.699,50000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Simosthenurus,maddocki,,4.699,50000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Simosthenurus,occidentalis,,4.699,50000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Simosthenurus,orientalis,,4.875,75000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Simosthenurus,pales,,5.176,150000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Sthenurus,andersoni,,4.699,50000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Sthenurus,oreas,,5.000,100000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Sthenurus,tindalei,,5.000,100000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Sthenurus,atlas,,5.176,150000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Sthenurus,stirlingi,,5.176,150000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Macropodidae,Troposodon,minor,,4.602,40000.000,,"11, 16",,,,,,
AUS,,extinct,Diprotodontia,Potoroidae,N. gen,spp,,3.699,5000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Potoroidae,Propleopus,oscillans,,4.602,40000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Vombatidae,Lasiorhinus,angustidens,,4.699,50000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Vombatidae,Phascolomys,medius,,4.699,50000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Vombatidae,Phascolonus,gigas,,5.301,200000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Vombatidae,Ramsaya,magna,,5.000,100000.000,,16,,,,,,
AUS,,extinct,Diprotodontia,Vombatidae,Vombatus,hacketti,,4.477,30000.000,,"13, 16",,,,,,
AUS,,extinct,Diprotodontia,Vombatidae,Warenja,wakefieldi,,4.000,10000.000,,16,,,,,,
AUS,,extinct,Monotremata,Tachyglossidae,Megalibgwilia,ramsayi,,4.000,10000.000,,"13, 16",,,,,,
AUS,,extinct,Monotremata,Tachyglossidae,Zaglossus,hacketti,,4.477,30000.000,,"13, 16",,,,,,
AUS,,extinct,Peramelemorphia,Thylacoleonidae,Thylacoleo,carnifex,,5.061,115000.000,,"13, 16, 22",,,,,,
EA,europe,extinct,Artiodactyla,Bovidae,Bison,priscus,,5.719,523600.437,,165,,,,,,
EA,Europe & Asia,extinct,Artiodactyla,Bovidae,Spirocerus,kiakhtensis,,5.898,790678.628,,165,,,,,,
EA,asia,extinct,Artiodactyla,Camelidae,Camelus,knoblochi,,5.740,549540.874,,165,,,,,,
EA,europe,extinct,Artiodactyla,Cervidae,Megaloceros,giganteus,,5.845,699841.996,,"Stuart, 1999, 165",,,,,,
EA,Europe,extinct,Carnivora,Felidae,Panthera,spelaea,,5.580,380189.396,,165,,,,,,
EA,Northern Eurasia,extinct,Carnivora,Hyaenidae,Crocuta,crocuta,,4.845,69984.200,,"Stuart, 1999, 165",LR,,,,,
EA,europe,extinct,Perissodactyla,Rhinocerotidae,Coelodonta,antiquitatis,,6.462,2897343.588,woolly rhinoceros,"Stuart, 1999, 165",,,,,,
EA,,extinct,Perissodactyla,Rhinocerotidae,Stephanorhinus,hemitoechus,,6.204,1599558.029,,"Stuart, 1999, 165",,,,,,
EA,,extinct,Perissodactyla,Rhinocerotidae,Stephanorhinus,kirchbergensis,,6.204,1599558.029,,"Stuart, 1999, 165",,,,,,
EA,Europe,extinct,Proboscidea,Elephantidae,Mammuthus,primigenius,,6.740,5500000.000,,"36, 37, 38, 58, 112, Stuart 1999",,,,,,
EA,Europe,extinct,Rodentia,Castoridae,Trogontherium,cuvieri,,4.602,39994.475,,165,,,,,,
Insular,Madagascar,extinct,Artiodactyla,Hippopotamidae,Hippopotamus,lemerlei,,5.699,500034.535,total length: 2000mm; shoulder height 800mm,"150, 165",EX,,,,,
Insular,Madagascar,extinct,Artiodactyla,Hippopotamidae,Hippopotamus,laloumena,,5.975,944993.327,"largest of 3 Malagasy hippos, but not as big as common hippo; 2/3 size of modern hippo",150,,,,,,
Insular,Madagascar,extinct,Bibymalagasia,,Plesiorycteropus,germainepetterae,,3.893,7810.000,smaller than P. madagascariensis; estimate is from primate model; estimate using dasypodid model is 6240g; estimate using caviomorph model is 10830g.  MacPhee thought caviomorph estimate was too high.,"150, 155",,,,,,
Insular,Madagascar,extinct,Bibymalagasia,,Plesiorycteropus,madagascariensis,,4.121,13220.000,"once thought to be a Tubulidentata; estimate is using a primate model; using dasypodid model, estimates are 9640g; using a caviomorph model, estimates are 18370g.  MacPhee thought the caviomorph model was too high","150, 155",,,,,,
Insular,New Guinea,extinct,Dasyuromorphia,Thylacinidae,Thylacinus,sp.,,4.477,30000.000,"extinct before 2000 ybp, made it to holocene; Australian weight for T. cynocephalus",151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Diprotodontidae,Hulitherium,thomasettii,,5.138,137500.000,75-200Kg; 38600 +- 500 ybp,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Diprotodontidae,Kolopsis,watutense,,5.477,300000.000,syn. Zygomaturus nimborensia; uncertain age…thought to be Pleistocene; 200-400 kg,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Diprotodontidae,Maokopia,ronaldi,,5.000,100000.000,found Kelangurr Cave & West Baliem River (41500 +- 1500 ybp),151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Macropodidae,Dendrolagus,noibano,,4.301,20000.000,14000-10000 ybp - youngest specimen,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Macropodidae,Protemnodon,nombe,,4.477,30000.000,20-40kg; 24000-14000 ybp,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Macropodidae,Protemnodon,tumbuna,,4.699,50000.000,Pleistocene descendent of Protemnodon otibandus; 40-60kg,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Macropodidae,Protemnodon,hopei,,4.869,74000.000,found Kelangurr Cave & West Baliem River (41500 +- 1500 ybp); generic average,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Macropodidae,Thylogale,christenseni,,3.260,1821.500,small; size of Dorcopsulus vanheurni; 3000 ybp,151,,,,,,
Insular,New Guinea,extinct,Diprotodontia,Macropodidae,Thylogale,sp.,,3.739,5478.000,originally described as T. brunii; 3000 ybp,151,,,,,,
Insular,Borneo,extinct,Perissodactyla,Tapiridae,Tapirus,indicus,,5.472,296250.000,last record 8000kya,"68, 118",,,,,,
Insular,Madagascar,extinct,Primates,Archaeolemuridae,Hadropithecus,stenognathus,,4.230,17000.000,~17kg,150,,,,,,
Insular,Madagascar,extinct,Primates,Daubentoniidae,Daubentonia,robusta,,4.000,10000.000,subfossils: 2.5-5 times larger than D. madagascariensis,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Archaeoindris,fontoynontii,,5.301,200000.000,200 +50kg,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Babakotia,radofilai,,4.176,15000.000,,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Mesopropithecus,dolichobrachion,,4.000,10000.000,,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Mesopropithecus,globiceps,,4.000,10000.000,,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Mesopropithecus,prithecoides,,4.000,10000.000,,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Palaeopropithecus,ingens,,4.677,47500.000,,150,,,,,,
Insular,Madagascar,extinct,Primates,Palaeopropithecidae,Palaeopropithecus,maximus,,4.677,47500.000,40-55kg,150,,,,,,
Insular,Puerto Rico,extinct,Rodentia,Echimyidae,Puertoricomys,corozalus,,-999.000,-999.000,,-999,,,,,,
Insular,Madagascar,extinct,Rodentia,Muridae,Hypogeomys,australis,,-999.000,-999.000,much larger than H. antimena,150,,,,,,
Insular,Coronado,historical,Rodentia,Muridae,Neotoma,bunkeri,,2.574,375.000,,"157, 158",EN,,,,,
Insular,"New Ireland, Bishmarch Arch",extinct,Rodentia,Muridae,Rattus,sanila,,-999.000,-999.000,,-999,,,,,,
Insular,Guadalcanal ,extinct,Rodentia,Muridae,Uromys,imperator,,3.000,1000.000,,110,extinct,,,,,
NA,,extinct,Rodentia,Muridae,Synaptomys,bunkeri,,1.301,20.000,,25,,,,,,
