genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Anchomomys,quercyi,40.400,37.200,1,1,0.0031
Anchomomys,sp.,48.600,37.200,1,0,NaN
Anchomomys,stehlini,40.400,37.200,2,0,NaN
Ancylotherium,pentelicum,8.700,5.332,1,0,NaN
Ancylotherium,sp.,11.608,7.246,1,0,NaN
Andegameryx,andegaviensis,20.430,20.000,3,0,NaN
Angustidens,excultus,11.100,9.700,1,0,NaN
Anictis,simplicidens,33.900,28.400,1,0,NaN
Anisosiren,pannonica,48.600,40.400,1,1,1.0000
Anoglochis,ramosus,2.588,0.781,2,0,NaN
Anomalomys,aliveriensis,16.900,15.970,1,0,NaN
Anomalomys,gaillardi,11.100,9.700,4,0,NaN
Anomalomys,gaudryi,13.650,9.700,9,0,NaN
Anomalomys,gernoti,8.700,7.750,1,0,NaN
Anomalomys,minor,16.900,13.650,5,0,NaN
Anomalomys,minutus,15.970,13.650,2,0,NaN
Anomalomys,sp.,12.750,4.200,2,0,NaN
Anomotherium,langewieschei,33.900,23.030,4,3,1.0000
Anoplotherium,commune,37.200,28.400,9,0,NaN
Anoplotherium,latipes,37.200,33.900,2,0,NaN
Anoplotherium,laurillardi,37.200,33.900,4,0,NaN
Anoplotherium,sp.,37.200,33.900,9,1,0.1905
Anthracobunodon,louisi,40.400,37.200,1,1,0.0753
Anthracobunodon,weigelti,48.600,40.400,2,0,NaN
Anthracomys,majori,8.700,5.332,1,0,NaN
Anthracomys,meini,4.900,4.200,2,1,0.2000
Anthracotherium,hippoideum,28.400,15.970,1,0,NaN
Anthracotherium,magnum,33.900,28.400,1,0,NaN
Anthracotherium,monsvialense,33.900,28.400,1,0,NaN
Anthracotherium,sp.,33.900,28.400,2,0,NaN
Antiacodon,pygmaeus,48.600,37.200,8,0,NaN
Antilope,pallasii,7.246,5.332,1,0,NaN
Antilope,sp.,13.650,0.781,3,0,NaN
Aonyx,antiqua,0.781,0.126,1,0,NaN
Apatemys,mutiniacus,55.800,48.600,2,0,NaN
Apatemys,sigogneaui,55.800,48.600,3,3,0.2877
Apatemys,sp.,55.800,48.600,5,3,0.1716
Apatemys,teilhardi,55.800,48.600,1,1,0.9697
Apeomys,tuerkheimae,28.400,22.400,1,0,NaN
Apocricetus,alberti,7.246,5.332,2,0,NaN
Apocricetus,angustidens,3.600,3.200,9,3,0.1454
Apocricetus,barrierei,7.246,4.200,4,0,NaN
Apocricetus,plinii,7.750,7.246,2,0,NaN
Apodemus,alsomyoides,3.200,0.781,4,1,0.0023
Apodemus,atavus,5.332,0.781,2,1,0.2932
Apodemus,coronensis,0.781,0.126,1,0,NaN
Apodemus,dominans,7.246,2.588,45,12,0.1236
Apodemus,flavicollis,2.588,0.126,15,1,0.2222
Apodemus,gorafensis,7.246,4.900,1,0,NaN
Apodemus,"gr. sylvaticus-flavicollis",0.781,0.126,1,1,0.0682
Apodemus,gudrunae,8.700,5.332,8,4,0.2068
Apodemus,jeanteti,5.332,2.588,15,2,0.1162
Apodemus,leptodus,3.200,2.588,2,2,0.0029
Apodemus,maastrichtiensis,0.781,0.126,2,0,NaN
Apodemus,mannu,5.332,3.200,1,0,NaN
Apodemus,maximus,5.332,0.012,1,0,NaN
Apodemus,mystacinus,3.200,0.781,19,1,0.0682
Apodemus,sibiricus,5.332,2.588,1,1,0.0022
Apodemus,sp.,8.700,0.012,78,7,0.0228
Apodemus,sylvaticus,3.200,0.000,91,21,0.0524
Aporotus,dicyrtus,11.608,2.588,1,0,NaN
Aporotus,recurvirostris,11.608,2.588,2,0,NaN
Apterodon,intermedius,33.900,28.400,1,0,NaN
Aragoral,mudejar,9.700,8.700,1,0,NaN
Arcantiodelphys,marchandi,99.600,93.500,1,1,1.0000
Archaebalaenoptera,castriarquati,3.600,2.588,1,1,1.0000
Archaeocetus,sp.,12.700,11.608,7,2,0.5774
Archaeodesmana,baetica,7.246,4.900,1,0,NaN
Archaeodesmana,bifida,3.200,2.588,1,0,NaN
Archaeodesmana,brailloni,3.600,3.200,4,0,NaN
Archaeodesmana,dekkersi,8.700,4.200,4,2,0.2519
Archaeodesmana,getica,5.332,3.200,1,0,NaN
Archaeodesmana,luteyni,8.700,5.332,3,0,NaN
Archaeodesmana,major,8.700,5.332,2,0,NaN
Archaeodesmana,pontica,7.750,7.246,1,0,NaN
Archaeodesmana,primigenia,11.100,9.700,1,0,NaN
Archaeodesmana,sp.,4.900,2.588,4,0,NaN
Archaeodesmana,turolense,7.750,7.246,4,0,NaN
Archaeodesmana,vinea,11.100,7.750,8,0,NaN
Archaeomys,intermedius,28.400,23.030,1,0,NaN
Archaeomys,laurillardi,28.400,23.030,2,0,NaN
Archaeonycteris,brailloni,55.800,48.600,2,0,NaN
Archaeonycteris,trigonodon,48.600,40.400,1,0,NaN
Archaeopteropus,transiens,33.900,28.400,1,0,NaN
Archaeoziphius,microglenoideus,15.970,11.608,1,1,0.3333
Archaeschrichtius,ruggieroi,11.608,7.246,1,1,0.5000
Arcius,rougieri,55.800,48.600,1,0,NaN
Arcius,sp.,51,51,1,0,NaN
Arcius,zbyszewskii,55.800,48.600,1,0,NaN
Arctocyonides,arenae,58.700,55.800,3,1,1.0000
Arctocyonides,trouessarti,58.700,55.800,1,0,NaN
Arctocyonides,weigelti,61.700,58.700,1,1,1.0000
Arctocyon,sp.,58.700,55.800,1,0,NaN
Arctomeles,ferus,4.200,2.588,1,0,NaN
Arctomeles,pliocaenicus,4.200,3.200,1,0,NaN
Argyrocetus,salentinus,11.608,7.246,1,0,NaN
Argyrocetus,sp.,11.608,7.246,2,1,0.5000
Arimidelphis,sorbinii,3.600,1.806,1,0,NaN
Armantomys,aragonensis,16.900,15.970,5,1,0.1429
Armantomys,bijamai,23.030,22.400,1,0,NaN
Armantomys,bijmai,28.400,20.000,2,1,0.0769
Armantomys,daamsi,22.400,20.000,1,0,NaN
Armantomys,parsani,20.000,16.900,1,0,NaN
Armantomys,sp.,20.430,15.970,2,0,NaN
Armantomys,tricristatus,23.030,5.332,1,0,NaN
Arvaldus,stintoni,37.200,33.900,1,1,0.0556
Arvernoceros,ardei,3.200,2.588,6,0,NaN
Arvicola,amphibius,0.781,0.126,2,0,NaN
Arvicola,bactonensis,2.588,0.126,3,1,0.0023
Arvicola,cantiana,0.781,0.012,10,5,0.0109
Arvicola,cantianus,0.781,0.126,11,0,NaN
Arvicola,deucalion,2.588,0.781,3,1,0.8000
Arvicola,glabeolus,0.781,0.126,1,0,NaN
Arvicola,gravalis,0.781,0.126,1,0,NaN
Arvicola,gregalis,0.781,0.126,1,0,NaN
Arvicola,grenii,0.781,0.126,1,0,NaN
Arvicola,italica,0.012,0.000,1,0,NaN
Arvicola,mosbachensis,0.781,0.126,4,3,0.0390
Arvicola,nageri,2.588,0.781,1,0,NaN
